	Page size 		| #of pages  		| Page replacement ALG 		| Page fault percentage
512					1			FIFO				512%  
512					1			LRU				516%  
1024					1			FIFO				1024%  
1024					1			LRU				1028%  
2048					1			FIFO				2048%  
2048					1			LRU				2052%  
512					1			FIFO				512%  
512					1			LRU				520%  
1024					1			FIFO				1024%  
1024					1			LRU				1032%  
2048					1			FIFO				2048%  
2048					1			LRU				2056%  
512					1			FIFO				512%  
512					1			LRU				524%  
1024					1			FIFO				1024%  
1024					1			LRU				1036%  
2048					1			FIFO				2048%  
2048					1			LRU				2060%  
